FOREST AREA,,,,,,,,,,,
Estonia,2169,2149.5,2123.2,2105.5,2094.6,2086.7,2081.4,2078.2,2076.5,2076.1,2076.7
Georgia,2723,2714.8,2716.2,2741.9,2785.9,2831.2,2877.8,2925.7,2975.4,3026.8,3079.8
Kazakhstan,3267,3247.4,3225.1,3218.4,3225.1,3234.9,3247.7,3263.3,3282,3303.6,3327.8
Kyrgyzstan,1079,1141.7,1253,1371,1491.2,1617.9,1750.1,1886.5,2030.7,2182.7,2342.5
Latvia,3431,3462,3515.4,3569,3619.7,3669,3716.4,3761.6,3805,3846.3,3885.4
Lithuania,2218,2244.7,2289,2331.5,2370.9,2409.4,2447,2483.5,2518.9,2553.1,2586
"Moldova, Republic of",421,436.3,463.1,490.6,516.6,542.3,567.2,590.7,614.1,637.3,660.2
Russian Federation,809390,809390,810849.7,814534.2,820143.9,826650.5,833964.1,841988.3,850597,859694.9,869182.1
Tajikistan,410,410,410.8,413.6,419.2,425.8,433.4,442.1,451.4,461.2,471.6
Turkmenistan,4127,4127,4144.2,4186.8,4247.4,4312.2,4380,4449.7,4520.2,4591.1,4661.7
Ukraine,9894,9983.3,10154.3,10365.5,10619.6,10891.9,11182.6,11491.5,11813.8,12149.7,12499.1
Uzbekistan,3249,3239.3,3237.3,3264.1,3321.1,3385.2,3455.5,3530.9,3608.9,3689.3,3772
Former USSR,0,0,0,0,0,0,0,0,0,0,0
World,3986662,3974833,3962335.1,3958888.7,3962300.8,3971194.9,3984848.5,4002555.7,4024431.5,4049748.1,4077759.2
